제품코드,제품명,업체명,규격,단위,상한금액,Group
653001520,아트레톨씨알정(카르바마제핀)_(0.2g/1정),(주)한국파마,1,정,95,carbamazepine   0.2g
657200530,에필렙톨씨알정(카르바마제핀)_(0.2g/1정),환인제약(주),1,정,127,carbamazepine   0.2g
649802760,카르마인씨알정(카르바마제핀)_(0.2g/1정),명문제약(주),1,정,129,carbamazepine   0.2g
651901840,카마제핀씨알정200밀리그람(카르바마제핀)_(0.2g/1정),명인제약(주),1,정,142,carbamazepine   0.2g
653601120,테그레톨씨알정200밀리그램(카르바마제핀)_(0.2g/1정),한국노바티스(주),1,정,191,carbamazepine   0.2g
642201050,부광티모닐서방정300밀리그램(카르바마제핀)_(0.3g/1정),부광약품(주),1,정,158,carbamazepine   0.3g
651901850,카마제핀씨알정300밀리그람(카르바마제핀)_(0.3g/1정),명인제약(주),1,정,176,carbamazepine   0.3g
657202690,환인클로나제팜정0.5밀리그램_(0.5mg/1정),환인제약(주),1,정,36,clonazepam   0.5mg
643308800,리보트릴정(클로나제팜)_(0.5mg/1정),(주)종근당,1,정,36,clonazepam   0.5mg
657201120,환인히단토인정(페니토인)_(0.1g/1정),환인제약(주),1,정,41,diphenylhydantoin sodium   0.1g
644200080,데파코트서방정250mg(디발프로엑스나트륨)_(0.2691g/1정),한국애보트(주),1,정,184,divalproex sodium (as divalproex   0.25g)
653006910,디발프로서방정500밀리그램(디발프로엑스나트륨)_(0.5381g/1정),(주)한국파마,1,정,232,divalproex sodium (as divalproex   0.5g)
644200090,데파코트서방정500㎎(디발프로엑스나트륨)_(0.5381g/1정),한국애보트(주),1,정,273,divalproex sodium (as divalproex   0.5g)
644200100,데파코트스프링클캅셀(디발프로엑스나트륨입자)_(0.2263g/1캡슐),한국애보트(주),1,캡슐,192,divalproex sodium particle (as divalproex   0.125g)
647800210,뉴로카바캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),삼진제약(주),1,캡슐,144,gabapentin   0.1g
652601470,펜다운캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),알보젠코리아(주),1,캡슐,163,gabapentin   0.1g
643300030,가바렙캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),(주)종근당,1,캡슐,167,gabapentin   0.1g
642003570,현대가바펜틴캡슐100밀리그램_(0.1g/1캡슐),현대약품(주),1,캡슐,168,gabapentin   0.1g
678600850,가바티론캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)다산제약,1,캡슐,168,gabapentin   0.1g
671706140,카나가바로틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),주식회사제뉴원사이언스,1,캡슐,168,gabapentin   0.1g
677100500,펜믹스가바펜틴캡슐100밀리그램_(0.1g/1캡슐),(주)펜믹스,1,캡슐,168,gabapentin   0.1g
647204990,가비스타캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),한국코러스(주),1,캡슐,168,gabapentin   0.1g
669502310,씨티가바캡슐100mg(가바펜틴)_(0.1g/1캡슐),(주)씨티씨바이오,1,캡슐,168,gabapentin   0.1g
669805100,가바랩캡슐100mg(가바펜틴)_(0.1g/1캡슐),구주제약(주),1,캡슐,168,gabapentin   0.1g
647303620,씨트펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),에이치엘비제약(주),1,캡슐,168,gabapentin   0.1g
628901170,이로바캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)이든파마,1,캡슐,168,gabapentin   0.1g
55101140,가바투캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),코스맥스파마(주),1,캡슐,168,gabapentin   0.1g
669907460,가바텐캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),대한뉴팜(주),1,캡슐,168,gabapentin   0.1g
658107490,가바페캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(유)한풍제약,1,캡슐,168,gabapentin   0.1g
54800950,가바론틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),엔비케이제약(주),1,캡슐,168,gabapentin   0.1g
660703470,위더펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),위더스제약(주),1,캡슐,168,gabapentin   0.1g
657503660,뉴벤틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),미래바이오제약(주),1,캡슐,168,gabapentin   0.1g
59001210,가바케이캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),주식회사케이에스제약,1,캡슐,168,gabapentin   0.1g
643700900,네오펜틴캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),국제약품(주),1,캡슐,181,gabapentin   0.1g
642900470,메가펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),일동제약(주),1,캡슐,181,gabapentin   0.1g
642800030,가바틴캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),고려제약(주),1,캡슐,186,gabapentin   0.1g
642500370,동아가바펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),동아에스티(주),1,캡슐,192,gabapentin   0.1g
73400450,뉴론틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),비아트리스코리아(주),1,캡슐,192,gabapentin   0.1g
657200060,뉴렙톨캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),환인제약(주),1,캡슐,194,gabapentin   0.1g
643500010,가바페닌캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),한미약품(주),1,캡슐,196,gabapentin   0.1g
694000960,네버펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),대웅바이오(주),1,캡슐,198,gabapentin   0.1g
657800080,뉴가바캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),하나제약(주),1,캡슐,198,gabapentin   0.1g
670100070,뉴로스캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),(주)팜젠사이언스,1,캡슐,198,gabapentin   0.1g
649502220,유니론틴캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),유니메드제약(주),1,캡슐,198,gabapentin   0.1g
670301470,코오롱가바펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),코오롱제약(주),1,캡슐,198,gabapentin   0.1g
651300660,뉴론텍캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)새한제약,1,캡슐,198,gabapentin   0.1g
652904160,서울가바펜틴캡슐100밀리그램_(0.1g/1캡슐),(주)서울제약,1,캡슐,198,gabapentin   0.1g
657300010,가바피나캡슐(가바펜틴)_(0.3g/1캡슐),(주)동구바이오제약,1,캡슐,292,gabapentin   0.3g
642003590,현대가바펜틴캡슐300밀리그램_(0.3g/1캡슐),현대약품(주),1,캡슐,346,gabapentin   0.3g
656700140,넬슨가바펜틴캡슐(가바펜틴)_(0.3g/1캡슐),한국넬슨제약(주),1,캡슐,346,gabapentin   0.3g
658200090,뉴바틴캡슐(가바펜틴)_(0.3g/1캡슐),(주)비보존제약,1,캡슐,346,gabapentin   0.3g
678600860,가바티론캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)다산제약,1,캡슐,346,gabapentin   0.3g
671706150,카나가바로틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),주식회사제뉴원사이언스,1,캡슐,346,gabapentin   0.3g
621801130,가바스탄캡슐(가바펜틴)_(0.3g/1캡슐),(주)한국파비스제약,1,캡슐,346,gabapentin   0.3g
644801930,태극가바펜틴캡슐_(0.3g/1캡슐),태극제약(주),1,캡슐,346,gabapentin   0.3g
648602860,가바렉스캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)씨엠지제약,1,캡슐,346,gabapentin   0.3g
649102080,가바스틸캡슐300mg(가바펜틴)_(0.3g/1캡슐),한국휴텍스제약(주),1,캡슐,346,gabapentin   0.3g
644603290,가바인캡슐300mg(가바펜틴)_(0.3g/1캡슐),조아제약(주),1,캡슐,346,gabapentin   0.3g
693201330,가바킹캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)한국글로벌제약,1,캡슐,346,gabapentin   0.3g
625800340,가틴캡슐(가바펜틴)_(0.3g/1캡슐),메딕스제약(주),1,캡슐,346,gabapentin   0.3g
645604580,뉴로가바캡슐(가바펜틴)_(0.3g/1캡슐),대화제약(주),1,캡슐,346,gabapentin   0.3g
625200390,뉴펜틴캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)화이트생명과학,1,캡슐,346,gabapentin   0.3g
649601090,바론틴캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),대우제약(주),1,캡슐,346,gabapentin   0.3g
674400660,아바펜캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),아이큐어(주),1,캡슐,346,gabapentin   0.3g
661604550,알피가바펜틴캡슐300mg_(0.3g/1캡슐),(주)알피바이오,1,캡슐,346,gabapentin   0.3g
661904150,카바펜캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),영풍제약(주),1,캡슐,346,gabapentin   0.3g
647205000,가비스타캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),한국코러스(주),1,캡슐,346,gabapentin   0.3g
669502300,씨티가바캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)씨티씨바이오,1,캡슐,346,gabapentin   0.3g
628901080,이로바캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)이든파마,1,캡슐,346,gabapentin   0.3g
647303610,씨트펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),에이치엘비제약(주),1,캡슐,346,gabapentin   0.3g
665507080,유니펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),한국유니온제약(주),1,캡슐,346,gabapentin   0.3g
629701540,오스가바캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)오스코리아제약,1,캡슐,346,gabapentin   0.3g
693902960,뉴로가펜캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)셀트리온제약,1,캡슐,346,gabapentin   0.3g
55101160,가바투캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),코스맥스파마(주),1,캡슐,346,gabapentin   0.3g
669907470,가바텐캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),대한뉴팜(주),1,캡슐,346,gabapentin   0.3g
628801490,휴론틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)휴비스트제약,1,캡슐,346,gabapentin   0.3g
658107500,가바페캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(유)한풍제약,1,캡슐,346,gabapentin   0.3g
58200470,아가바캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)아리제약,1,캡슐,346,gabapentin   0.3g
698504040,가바텍스캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)테라젠이텍스,1,캡슐,346,gabapentin   0.3g
641907520,보령가바펜틴캡슐300밀리그램_(0.3g/1캡슐),(주)보령,1,캡슐,346,gabapentin   0.3g
679601310,가바원캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)서흥,1,캡슐,346,gabapentin   0.3g
54800960,가바론틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),엔비케이제약(주),1,캡슐,346,gabapentin   0.3g
660703460,위더펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),위더스제약(주),1,캡슐,346,gabapentin   0.3g
622804260,뉴가틴엠캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)마더스제약,1,캡슐,346,gabapentin   0.3g
670502190,가바프로캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)보령바이오파마,1,캡슐,346,gabapentin   0.3g
60500310,메가바틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)엘앤씨바이오,1,캡슐,346,gabapentin   0.3g
655404340,가뉴틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),일성신약(주),1,캡슐,346,gabapentin   0.3g
73000940,건스펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),건일바이오팜주식회사,1,캡슐,346,gabapentin   0.3g
59001220,가바케이캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),주식회사케이에스제약,1,캡슐,346,gabapentin   0.3g
646800020,건일가바펜틴캡슐300밀리그램_(0.3g/1캡슐),건일제약(주),1,캡슐,352,gabapentin   0.3g
656204530,레고펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)바스칸바이오제약,1,캡슐,360,gabapentin   0.3g
651900030,가펜틴캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),명인제약(주),1,캡슐,382,gabapentin   0.3g
653002660,파마가바펜틴캡슐(가바펜틴)_(0.3g/1캡슐),(주)한국파마,1,캡슐,389,gabapentin   0.3g
642800040,가바틴캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),고려제약(주),1,캡슐,391,gabapentin   0.3g
73400430,뉴론틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),비아트리스코리아(주),1,캡슐,391,gabapentin   0.3g
642500360,동아가바펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),동아에스티(주),1,캡슐,393,gabapentin   0.3g
657200070,뉴렙톨캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),환인제약(주),1,캡슐,396,gabapentin   0.3g
647800200,뉴로카바캡슐(가바펜틴)_(0.3g/1캡슐),삼진제약(주),1,캡슐,396,gabapentin   0.3g
642900480,메가펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),일동제약(주),1,캡슐,402,gabapentin   0.3g
643500020,가바페닌캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),한미약품(주),1,캡슐,402,gabapentin   0.3g
646000120,뉴로닌캡슐(가바펜틴)_(0.3g/1캡슐),(주)메디카코리아,1,캡슐,403,gabapentin   0.3g
652601460,펜다운캡슐(가바펜틴)_(0.3g/1캡슐),알보젠코리아(주),1,캡슐,404,gabapentin   0.3g
648500010,가바론캡슐300mg(가바펜틴)_(0.3g/1캡슐),신풍제약(주),1,캡슐,406,gabapentin   0.3g
670100060,뉴로스캡슐(가바펜틴)_(0.3g/1캡슐),(주)팜젠사이언스,1,캡슐,406,gabapentin   0.3g
649502210,유니론틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),유니메드제약(주),1,캡슐,406,gabapentin   0.3g
670301480,코오롱가바펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),코오롱제약(주),1,캡슐,406,gabapentin   0.3g
643300040,가바렙캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),(주)종근당,1,캡슐,407,gabapentin   0.3g
656003900,가바로닌캡슐300mg(가바펜틴)_(0.3g/1캡슐),알리코제약(주),1,캡슐,407,gabapentin   0.3g
648100010,가바펜캡슐(가바펜틴)_(0.3g/1캡슐),경동제약(주),1,캡슐,407,gabapentin   0.3g
658600020,가벤틴캡슐300mg(가바펜틴)_(0.3g/1캡슐),이연제약(주),1,캡슐,407,gabapentin   0.3g
694000140,네버펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),대웅바이오(주),1,캡슐,407,gabapentin   0.3g
643700890,네오펜틴캡슐(가바펜틴)_(0.3g/1캡슐),국제약품(주),1,캡슐,407,gabapentin   0.3g
657800090,뉴가바캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),하나제약(주),1,캡슐,407,gabapentin   0.3g
644300240,뉴로펜틴캡슐(가바펜틴)_(0.3g/1캡슐),한국유나이티드제약(주),1,캡슐,407,gabapentin   0.3g
651300670,뉴론텍캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)새한제약,1,캡슐,407,gabapentin   0.3g
652904170,서울가바펜틴캡슐300밀리그램_(0.3g/1캡슐),(주)서울제약,1,캡슐,407,gabapentin   0.3g
671706290,카나가바로틴캡슐400밀리그램(가바펜틴)_(0.4g/1캡슐),주식회사제뉴원사이언스,1,캡슐,402,gabapentin   0.4g
642800050,가바틴캡슐400밀리그람(가바펜틴)_(0.4g/1캡슐),고려제약(주),1,캡슐,448,gabapentin   0.4g
642500380,동아가바펜틴캡슐400밀리그램(가바펜틴)_(0.4g/1캡슐),동아에스티(주),1,캡슐,457,gabapentin   0.4g
73400420,뉴론틴캡슐400밀리그램(가바펜틴)_(0.4g/1캡슐),비아트리스코리아(주),1,캡슐,470,gabapentin   0.4g
642505270,동아가바펜틴정600밀리그램(가바펜틴)_(0.6g/1정),동아에스티(주),1,정,515,gabapentin   0.6g
648600010,가바렉스정600밀리그램(가바펜틴)_(0.6g/1정),(주)씨엠지제약,1,정,515,gabapentin   0.6g
694000150,네버펜틴정600밀리그램(가바펜틴)_(0.6g/1정),대웅바이오(주),1,정,515,gabapentin   0.6g
73400440,뉴론틴정600밀리그램(가바펜틴)_(0.6g/1정),비아트리스코리아(주),1,정,581,gabapentin   0.6g
642800010,가바틴정600밀리그램(가바펜틴)_(0.6g/1정),고려제약(주),1,정,589,gabapentin   0.6g
642800020,가바틴정800밀리그램(가바펜틴)_(0.8g/1정),고려제약(주),1,정,652,gabapentin   0.8g
642500340,동아가바펜틴정800밀리그램(가바펜틴)_(0.8g/1정),동아에스티(주),1,정,691,gabapentin   0.8g
73400400,뉴론틴정800밀리그램(가바펜틴)_(0.8g/1정),비아트리스코리아(주),1,정,702,gabapentin   0.8g
643500040,가바페닌정800밀리그램(가바펜틴)_(0.8g/1정),한미약품(주),1,정,730,gabapentin   0.8g
658600170,라모진정100밀리그람(라모트리진)_(0.1g/1정),이연제약(주),1,정,500,lamotrigine   0.1g
651900220,라모스탈정100밀리그램(라모트리진)_(0.1g/1정),명인제약(주),1,정,569,lamotrigine   0.1g
642200660,라모티진정100밀리그램(라모트리진)_(0.1g/1정),부광약품(주),1,정,582,lamotrigine   0.1g
645300290,라비시틴정100밀리그람(라모트리진)_(0.1g/1정),한림제약(주),1,정,595,lamotrigine   0.1g
650000190,라믹탈정100밀리그램(라모트리진)_(0.1g/1정),(주)글락소스미스클라인,1,정,655,lamotrigine   0.1g
626900260,테바라모트리진츄어블정100밀리그램_(0.1g/1정),(주)한독테바,1,정,666,lamotrigine   0.1g
641600450,라미아트정100밀리그램(라모트리진)_(0.1g/1정),(주)대웅제약,1,정,685,lamotrigine   0.1g
645300270,라비시틴정25밀리그램(라모트리진)_(25mg/1정),한림제약(주),1,정,259,lamotrigine   25mg
642202540,라모티진정25밀리그램(라모트리진)_(25mg/1정),부광약품(주),1,정,262,lamotrigine   25mg
658602590,라모진정25mg(라모트리진)_(25mg/1정),이연제약(주),1,정,283,lamotrigine   25mg
626900250,테바라모트리진츄어블정25밀리그램_(25mg/1정),(주)한독테바,1,정,286,lamotrigine   25mg
650000170,라믹탈정25밀리그램(라모트리진)_(25mg/1정),(주)글락소스미스클라인,1,정,291,lamotrigine   25mg
641600460,라미아트정25밀리그램(라모트리진)_(25mg/1정),(주)대웅제약,1,정,308,lamotrigine   25mg
651903260,라모스탈정50밀리그램(라모트리진)_(50mg/1정),명인제약(주),1,정,359,lamotrigine   50mg
642202550,라모티진정50밀리그램(라모트리진)_(50mg/1정),부광약품(주),1,정,378,lamotrigine   50mg
645300280,라비시틴정50밀리그램(라모트리진)_(50mg/1정),한림제약(주),1,정,388,lamotrigine   50mg
658602110,라모진정50mg(라모트리진)_(50mg/1정),이연제약(주),1,정,395,lamotrigine   50mg
650000180,라믹탈정50밀리그램(라모트리진)_(50mg/1정),(주)글락소스미스클라인,1,정,433,lamotrigine   50mg
641600470,라미아트정50밀리그램(라모트리진)_(50mg/1정),(주)대웅제약,1,정,445,lamotrigine   50mg
650000210,라믹탈츄어블정5밀리그램(라모트리진)_(5mg/1정),(주)글락소스미스클라인,1,정,99,lamotrigine   5mg
651903880,옥사제핀정300mg(옥스카르바제핀)_(0.3g/1정),명인제약(주),1,정,338,oxcarbazepine   0.3g
653601150,트리렙탈필름코팅정300밀리그램(옥스카르바제핀)_(0.3g/1정),한국노바티스(주),1,정,388,oxcarbazepine   0.3g
649502180,유니렙시정(옥스카르바제핀)_(0.3g/1정),유니메드제약(주),1,정,390,oxcarbazepine   0.3g
653601160,트리렙탈필름코팅정600밀리그램(옥스카르바제핀)_(0.6g/1정),한국노바티스(주),1,정,680,oxcarbazepine   0.6g
653601140,트리렙탈필름코팅정150밀리그램(옥스카르바제핀)_(0.15g/1정),한국노바티스(주),1,정,232,oxcarbazepine   0.15g
641601060,대웅프리미돈정_(0.25g/1정),(주)대웅제약,1,정,209,primidone   0.25g
642201732,오르필시럽(발프로산나트륨)_(9g/150mL),부광약품(주),150(1),mL/병,24,sodium valproate   9g(60mg/mL)
642201700,오르필서방정150밀리그램(발프로산나트륨)_(0.15g/1정),부광약품(주),1,정,70,sodium valproate   0.15g
647801720,에필람정(발프로산나트륨)_(0.2g/1정),삼진제약(주),1,정,70,sodium valproate   0.2g
657200310,바렙톨서방정(발프로산나트륨)_(0.3g/1정),환인제약(주),1,정,84,sodium valproate   0.3g
652100180,"데파킨크로노정300밀리그램_(발프로산나트륨, 0.3g/1정)",(주)한독,1,정,87,sodium valproate   0.3g
642201710,오르필서방정300밀리그램(발프로산나트륨)_(0.3g/1정),부광약품(주),1,정,131,sodium valproate   0.3g
652100190,"데파킨크로노정500밀리그램_(발프로산나트륨, 0.5g/1정)",(주)한독,1,정,221,sodium valproate   0.5g
642201720,오르필서방정600밀리그램(발프로산나트륨)_(0.6g/1정),부광약품(주),1,정,207,sodium valproate   0.6g
653404890,피트메이트정100밀리그램(토피라메이트)_(0.1g/1정),동국제약(주),1,정,434,topiramate   0.1g
627600130,피엠에스토피라메이트정100밀리그램_(0.1g/1정),파마사이언스코리아(주),1,정,651,topiramate   0.1g
670601230,세티정(토피라메이트)_(0.1g/1정),(주)휴온스,1,정,702,topiramate   0.1g
642004610,토파린정100밀리그램(토피라메이트)_(0.1g/1정),현대약품(주),1,정,735,topiramate   0.1g
651902130,토파메이트정100밀리그람(토피라메이트)_(0.1g/1정),명인제약(주),1,정,755,topiramate   0.1g
651602620,한화토피라메이트정100밀리그램_(0.1g/1정),한화제약(주),1,정,773,topiramate   0.1g
649104320,토피맥스정100mg(토피라메이트)_(0.1g/1정),한국휴텍스제약(주),1,정,773,topiramate   0.1g
58200370,아토맥정100밀리그램(토피라메이트)_(0.1g/1정),(주)아리제약,1,정,773,topiramate   0.1g
641907540,보령토피라메이트정100밀리그램_(0.1g/1정),(주)보령,1,정,773,topiramate   0.1g
694002790,토피스트정100밀리그램(토피라메이트)_(0.1g/1정),대웅바이오(주),1,정,773,topiramate   0.1g
622801850,토파원정100밀리그램(토피라메이트)_(0.1g/1정),(주)마더스제약,1,정,773,topiramate   0.1g
657200800,토피라트정100밀리그램(토피라메이트)_(0.1g/1정),환인제약(주),1,정,812,topiramate   0.1g
646902390,토파맥스정100밀리그램(토피라메이트)_(0.1g/1정),(주)한국얀센,1,정,872,topiramate   0.1g
645301900,토피론정100밀리그램(토피라메이트)_(0.1g/1정),한림제약(주),1,정,880,topiramate   0.1g
649803170,토파민정(토피라메이트)_(0.1g/1정),명문제약(주),1,정,890,topiramate   0.1g
642902290,토파메드정100밀리그램(토피라메이트)_(0.1g/1정),일동제약(주),1,정,894,topiramate   0.1g
649503080,유니토파정(토피라메이트)_(0.1g/1정),유니메드제약(주),1,정,896,topiramate   0.1g
643502960,토피라정100밀리그램(토피라메이트)_(0.1g/1정),한미약품(주),1,정,907,topiramate   0.1g
693901840,토파스정100밀리그램(토피라메이트)_(0.1g/1정),(주)셀트리온제약,1,정,909,topiramate   0.1g
652603780,토팜정(토피라메이트)_(0.1g/1정),알보젠코리아(주),1,정,909,topiramate   0.1g
657805360,토맥스정100밀리그램(토피라메이트)_(0.1g/1정),하나제약(주),1,정,909,topiramate   0.1g
641803110,토피리드정25밀리그램(토피라메이트)_(25mg/1정),광동제약(주),1,정,250,topiramate   25mg
653404050,피트메이트정(토피라메이트)_(25mg/1정),동국제약(주),1,정,275,topiramate   25mg
670601240,세티정25밀리그람(토피라메이트)_(25mg/1정),(주)휴온스,1,정,288,topiramate   25mg
657200790,토피라트정25밀리그램(토피라메이트)_(25mg/1정),환인제약(주),1,정,292,topiramate   25mg
642004600,토파린정25밀리그램(토피라메이트)_(25mg/1정),현대약품(주),1,정,300,topiramate   25mg
643502970,토피라정25밀리그램(토피라메이트)_(25mg/1정),한미약품(주),1,정,319,topiramate   25mg
627600120,피엠에스토피라메이트정25밀리그램_(25mg/1정),파마사이언스코리아(주),1,정,327,topiramate   25mg
654304940,토피렉스정25밀리그램(토피라메이트)_(25mg/1정),오스틴제약(주),1,정,345,topiramate   25mg
656004630,토피메인정25밀리그램(토피라메이트)_(25mg/1정),알리코제약(주),1,정,345,topiramate   25mg
649104010,토피맥스정25mg(토피라메이트)_(25mg/1정),한국휴텍스제약(주),1,정,345,topiramate   25mg
58200380,아토맥정25밀리그램(토피라메이트)_(25gm/1정),(주)아리제약,1,정,345,topiramate   25mg
657807040,토맥스정25밀리그램(토피라메이트)_(25mg/1정),하나제약(주),1,정,345,topiramate   25mg
641907550,보령토피라메이트정25밀리그램_(25mg/1정),(주)보령,1,정,345,topiramate   25mg
694002770,토피스트정25밀리그램(토피라메이트)_(25mg/1정),대웅바이오(주),1,정,345,topiramate   25mg
649405400,토피라밀정25밀리그램(토피라메이트)_(25mg/1정),영일제약(주),1,정,345,topiramate   25mg
650204580,토피칸정25밀리그람(토피라메이트)_(25mg/1정),안국약품(주),1,정,345,topiramate   25mg
